id,Track Name,Artist,Genre,MFCC Features
251,Nobody Loves Me,Bird Names,,"[-3.4663188  -1.7686795  -1.154992   ...  0.09234105  0.1319495
  0.0300349 ]"
870,Pipe Sketch,Ian Nagoski,Experimental,"[-3.250664   -1.9154662  -1.4723479  ...  0.09938784  0.02997504
  0.00348707]"
196,Bright Mr Brother,Ed Askew,Folk,"[-3.7850838  -3.0272887  -2.706221   ...  0.11964457  0.12949973
  0.15391675]"
800,untitled2,Grouper,Experimental,"[-3.8531973  -3.0948558  -2.798015   ...  0.11787556  0.09768309
  0.02570969]"
1083,Feasting on Energy,Magic Lantern,Experimental,"[-3.765183   -2.3453825  -1.5146624  ... -0.21708788 -0.13428569
 -0.15818675]"
1170,Bad For Business,Mors Ontologica,Rock,"[-3.6846902  -2.673125   -1.5640002  ... -0.14724632 -0.12162554
  0.02892578]"
323,Crocodile Song,Blah Blah Blah,Rock,"[-3.905796   -3.4421327  -3.3151925  ... -0.1180789  -0.07181747
  0.03143111]"
144,Wire Up,Amoebic Ensemble,Jazz,"[-4.0947165  -2.9900224  -1.5044308  ... -0.18967734 -0.21114218
 -0.3012874 ]"
1048,Blue Coochology,Little Howlin' Wolf,Blues,"[-3.946541   -3.4158123  -3.0291078  ... -0.35422823 -0.18762854
 -0.11435817]"
562,Ex Lucky,Cinwaves,Rock,"[-4.248886   -4.1097846  -4.079836   ...  0.06716011  0.13841729
  0.15612528]"
181,Gopacapulco,Ariel Pink's Haunted Graffiti,Rock,"[-3.7238526  -1.533508   -0.28612423 ...  0.49530414  0.5461331
  0.4828647 ]"
274,Land of the Lost,Black Pus,Experimental,"[-3.21921     1.5971103   2.4232295  ... -0.28348148 -0.19093178
 -0.20140631]"
630,The City,Ed Askew,Folk,[-3.948963  -3.225024  -2.9477282 ... -0.5786043 -0.5344093 -0.571475 ]
1023,Despite All Evidence to the Contrary,Kyle Bruckmann's Wrack,Jazz,"[-3.9160125  -3.1478367  -2.726605   ... -0.01290891 -0.03421864
 -0.06547772]"
703,Peru Austria and Canada,Foot Village,Rock,"[-3.305977   -0.56669325  0.5984184  ... -0.02568792 -0.09775945
 -0.2175273 ]"
339,Chimpanzees disease,Blah Blah Blah,Rock,"[-4.1344514  -3.8618822  -3.7745075  ...  0.18029757  0.18468301
  0.11436387]"
1180,Chatter #3  ;  \,Mors Ontologica,Rock,"[-4.1926684  -4.062713   -4.094588   ...  0.12296336  0.15925978
  0.17068763]"
644,SNAP! (side two of two),Ethan Persoff,Electronic,"[-4.167557   -3.8833983  -3.791127   ...  0.3521516   0.36444068
  0.29874292]"
768,Brittle Woman,Glass Candy,Soul-RnB,"[-4.041764   -3.4779642  -3.1570485  ... -0.05426136 -0.0888584
 -0.05279959]"
1222,Track 3,Mudboy,,"[-4.1871405e+00 -3.9204118e+00 -3.8131566e+00 ...  2.0698628e-03
  5.9316731e-03  2.5254194e-02]"
253,New Life,Bird Names,,"[-3.356051   -1.3674941  -0.33492613 ...  0.48791018  0.393677
  0.40070817]"
1201,Galiens,Mountain High,Rock,"[-3.89412    -1.7948288  -0.0297837  ... -0.35125205 -0.5349469
 -0.330605  ]"
1107,Song 3,Mayor Daley,Rock,"[-3.9801838  -1.514456    0.62494254 ...  0.03998363 -0.13625076
 -0.45669678]"
779,Causing Disturbances,Glove Compartment,Rock,"[-4.04253    -3.6726825  -3.5636203  ... -0.32277262 -0.41202596
 -0.39629072]"
781,Shoe-Shopping High,Glove Compartment,Rock,"[-4.298938   -4.2348914  -4.264548   ... -0.03411266 -0.0047626
  0.11058142]"
327,Hands Beckoning,Blah Blah Blah,Rock,"[-3.9723158  -3.5818102  -3.5745695  ... -0.07288036 -0.08582799
 -0.18153729]"
871,Duo: Part 1,Ian Nagoski &amp; Tom Carter,,[-3.1410675 -1.296556  -0.4638736 ...  0.5204688  0.4933639  0.4715012]
2,Food,AWOL,Hip-Hop,"[-4.098576   -3.7481158  -3.8597374  ...  0.29285467  0.24206926
 -0.13082136]"
483,Magnolias Milan,Celesteville,Rock,"[-4.1382923  -3.7482257  -3.424219   ... -0.13405623 -0.18160169
 -0.294956  ]"
679,Change Thoughts,Fanatic,Hip-Hop,"[-4.098198   -3.704043   -3.3601573  ... -0.3593419  -0.25952163
 -0.00551946]"
925,I Wanna Be The One,Jad Fair,Spoken,"[-3.945799   -3.3710535  -3.1431236  ...  0.05462788  0.08927841
  0.18211381]"
975,make the best of the day,Jad Fair,Spoken,"[-4.141843   -3.7119522  -3.285418   ...  0.39364645  0.3985515
  0.3152009 ]"
735,Iko! Iko!,Glass Candy,Soul-RnB,"[-4.225864   -3.6169856  -1.6524081  ... -0.42425075 -0.54567677
 -0.27638534]"
1126,Silent Sex,Mink Lungs,Rock,"[-3.9973636  -2.611791   -1.2206718  ... -1.3447279  -0.8147377
 -0.28081316]"
1256,w/ Chuck Bettis (2002),Nautical Almanac,Experimental,"[-4.1045     -2.7801726  -0.7544813  ... -0.21425627 -0.19255382
 -0.28760085]"
769,The Screamers,Glass Candy,Soul-RnB,"[-4.015705   -2.3377342  -0.9691882  ...  0.10518725  0.16897514
  0.02370179]"
626,At Home In The Factory,Ed Askew,Folk,"[-3.7743886  -2.8505466  -2.5107884  ...  0.27327004  0.24794748
  0.10879376]"
1067,Mi Corazon Zone,Lucky Dragons,Experimental,"[-4.352195   -4.1844907  -4.0443616  ...  0.72791713  0.7749998
  0.6000575 ]"
677,The_Tension,Fanatic,Hip-Hop,"[-3.9377215  -3.5044117  -3.3662155  ... -0.37457594 -0.37560925
 -0.32944232]"
424,The Ambient Honky,Brian Joseph Davis,Experimental,"[-3.9201815  -3.093734   -2.7111628  ...  0.10618787  0.07916499
  0.09277812]"
1259,Rolling In The Green,Nautical Almanac,Experimental,"[-4.2005420e+00 -3.9326611e+00 -3.7527301e+00 ... -7.5141740e-01
 -4.1567978e-01 -1.5596481e-03]"
417,Eula,Brian Joseph Davis,Experimental,"[-4.2523146  -4.0375404  -3.9044929  ... -0.17028609 -0.20400925
 -0.20797648]"
525,I Have Not Spoken All Day,Celesteville,Rock,"[-3.9633026  -3.3993561  -3.063505   ...  0.16951717  0.24072301
  0.6060807 ]"
1274,Stumpf,Necropolis,Rock,"[-3.8058243  -1.9884752   0.08629545 ... -0.16528164 -0.36154678
 -0.27144068]"
523,Black Is the Color of My True Love's Mail,Celesteville,Rock,"[-4.0206003  -3.223773   -2.6600854  ...  0.24757972  0.2013047
  0.15323198]"
465,Thinking Of You,Cantonement Jazz Band,,"[-4.0836673  -3.497565   -3.224608   ... -0.44423345 -0.41274908
 -0.33380514]"
720,Camera Shy,Fuzz Unlimited,Rock,"[-3.8509934  -2.441558   -1.7167715  ... -0.43802917 -0.47807446
 -0.55354893]"
349,Garden of Eden,Blah Blah Blah,Rock,"[-4.2958336  -4.234051   -4.2457886  ... -0.19366954 -0.1708601
 -0.15878518]"
689,Propose A Toast,Fanatic,Hip-Hop,"[-3.9148886  -3.3445563  -2.9936213  ... -0.18744247 -0.06307822
 -0.20925932]"
1111,Fidicin Drone,Michael J. Schumacher,Experimental,"[-2.949993   -2.820151   -3.085262   ...  0.11802767  0.12912482
  0.10735742]"
628,Friday Night,Ed Askew,Folk,"[-4.0550222  -3.5751443  -3.216756   ...  0.36605728  0.41026622
  0.386742  ]"
429,1963/2005,Brian Joseph Davis,Experimental,"[-4.0371871e+00 -3.2038407e+00 -2.8754318e+00 ... -1.9131880e-01
 -9.4854765e-02 -3.8611793e-03]"
830,Vietnam,Here Comes A Big Black Cloud!!,Rock,"[-3.6610515  -1.5472875   0.00909308 ... -0.24669316 -0.33440357
 -0.2781721 ]"
1238,Track 1,Mudboy,,"[-3.8679256  -2.9334266  -2.433326   ...  0.06310605  0.01406854
 -0.07491014]"
558,Emotion,Nicky Cook,,"[-4.180465   -3.8865192  -3.9336803  ... -0.08285495 -0.27614203
 -0.30995995]"
1097,Track 06,Manbeard,Experimental,"[-4.2266474  -4.0879316  -4.0314054  ...  0.25134054  0.21391782
  0.24335144]"
515,Let's Climb a Mossy Hill,Celesteville,Rock,"[-3.7854426e+00 -2.3465507e+00 -1.2168251e+00 ...  4.7798842e-02
 -8.9927744e-03 -5.0871918e-04]"
159,Track 04,Area C,Experimental,"[-4.1568747  -3.989025   -3.920694   ...  0.06569722  0.09650946
  0.1282337 ]"
1073,Onda Tocadisco,Lucky Dragons,Experimental,"[-4.143914   -3.5920336  -2.9512014  ... -0.72511107 -0.20275985
  0.21173845]"
625,Climbing To The Top,Ed Askew,Folk,"[-3.6869774  -2.2100334  -1.7830985  ...  0.03711637 -0.10541347
 -0.12099345]"
325,Liquidizing Chickens,Blah Blah Blah,Rock,"[-4.115906   -3.826655   -3.6293473  ...  0.10304596  0.12279348
  0.13044009]"
759,Night Nurses,Glass Candy,Soul-RnB,"[-3.989817   -2.3548198  -0.53881705 ...  0.065652    0.00834921
  0.06080903]"
730,Track 04,Gang Wizard,Experimental,"[-4.266183   -4.06637    -3.8534927  ...  0.27453005  0.1765469
  0.18817697]"
983,Track 06,Jailberg,Experimental,"[-3.886541   -3.2019894  -2.8413823  ...  0.04184126  0.12997115
  0.12502602]"
755,Love On a Plate,Glass Candy,Soul-RnB,"[-3.801621    0.44171655  2.8240135  ... -0.5534294  -0.56038296
 -0.6143297 ]"
142,Punjabi Watery Grave,Alec K. Redfearn & the Eyesores,Folk,"[-4.358899   -3.9557154  -2.9339414  ... -0.40771294 -0.32228595
 -0.28238428]"
362,Starsigns,Blah Blah Blah,Rock,"[-4.229546   -4.098368   -4.0252604  ...  0.12796743  0.04429561
 -0.05517438]"
330,White Man,Blah Blah Blah,Rock,"[-3.84408    -3.0627162  -2.6863194  ... -0.40079722 -0.37783763
 -0.19938071]"
1172,Too Late,Mors Ontologica,Rock,[-3.7938857 -1.1141435  0.298529  ...  0.5080995  0.6024784  0.7066168]
858,Blastered,I Am the Liquor,Rock,"[-4.045146   -2.4007297   0.79768854 ...  0.10994434 -0.37626028
 -0.3583035 ]"
394,Boogie Hole,Boogie Witch,Rock,"[-1.2564013   3.7857893   4.034713   ... -0.22584017 -0.30614394
 -0.43523255]"
237,Garbage and (Garbage and Fire),Barnacled,Jazz,"[-3.5169108  -1.816407   -0.8644638  ... -0.36973026 -0.43019262
 -0.32497066]"
949,The Prettiest Star,Jad Fair,Spoken,"[-3.768353   -3.1676168  -3.3227556  ... -0.21761402 -0.11750452
  0.04657179]"
506,Moths!!!,Celesteville,Rock,"[-4.2252936  -3.838794   -3.0239534  ... -0.09816632 -0.1706374
 -0.21709791]"
713,No Idea,The Functional Blackouts,Rock,"[-3.6788876  -2.006108   -1.0148544  ... -0.41314518 -0.59512526
 -0.5470367 ]"
1026,Times I Despise,Landed,Rock,"[-3.7049835  -1.5241235  -0.08041967 ... -0.2638767  -0.25696
  0.01376713]"
657,Side Four - Record Label Track / Conclusion,Ethan Persoff,Electronic,"[-3.8949952e+00 -3.0566881e+00 -2.3732884e+00 ... -2.9652838e-02
 -1.5036523e-02 -3.1917559e-03]"
984,Track 07,Jailberg,Experimental,"[-4.058206   -3.5530307  -3.3850543  ... -0.03417665 -0.02987269
  0.03465043]"
662,side 4 - upset german screaming,Ethan Persoff,Electronic,"[-4.2857666  -4.2352395  -4.201204   ...  0.14374715  0.14704834
  0.11379562]"
1122,For All These Mice,Mincemeat or Tenspeed,Electronic,"[-3.5393846   2.028967    3.0359366  ... -0.11113816 -0.20850109
 -0.20004028]"
311,Tropical Holiday Time,Blah Blah Blah,Rock,"[-4.1640396  -4.0321064  -4.017175   ... -0.07877348 -0.1619514
 -0.13326351]"
1117,Florida Blue,Mike Rep and the Quotas,Rock,"[-3.8797705  -2.5039363  -1.1478221  ... -0.1829183  -0.27447197
 -0.2307946 ]"
161,Track 06,Area C,Experimental,"[-4.128255   -3.8941853  -3.735387   ...  0.07857354  0.10726479
  0.06585498]"
1153,Ballad Of A Gink,The Moonlighters,Jazz,"[-4.0561013  -3.6576762  -3.462457   ... -0.07459397 -0.06106695
 -0.00459899]"
862,Yr. Life Is a Curse,I Am the Liquor,Rock,"[-4.024998   -1.6325961   1.5642334  ... -0.14249279 -0.29711577
 -0.43598196]"
1133,The Bastard,Minmae,Rock,"[-3.7608092  -2.6405857  -2.021636   ...  0.10210507  0.09600353
  0.02842848]"
547,I Keep On Wondering (Interrupted),Charles Manson,Folk,"[-4.011989   -3.5964882  -3.518677   ...  0.06569482  0.02743502
 -0.05503335]"
198,It Breaks My Heart,Ed Askew,Folk,"[-4.027413   -3.2059152  -2.8947678  ...  0.36936313  0.4568955
  0.31969973]"
850,Tomb Of Science,Human Host,Rock,"[-3.8618999  -2.9056127  -2.3817914  ...  0.07458884  0.13114583
  0.31238824]"
560,Serious,Nicky Cook,,"[-4.2251663  -4.022033   -3.9763465  ... -0.1547105  -0.31637773
 -0.33616352]"
1255,Try It 2wice,Nautical Almanac,Experimental,"[-3.403437    0.8884646   2.3155727  ... -0.44441113 -0.3103594
 -0.18739946]"
236,"Push Am (Left, Right)",Banana Clipz,,"[-2.9947402  -3.3446522  -3.8659613  ...  0.20328029  0.21815418
  0.15494944]"
441,Veruca Assault,Bronhard/Going/Public,,"[-4.0118113  -2.7870004  -1.8453268  ...  0.20325102  0.54728085
  0.44711375]"
543,Sometimes It Works Just Right,Charles Manson,Folk,"[-4.248515   -4.055362   -3.9475245  ...  0.1183063   0.1461083
  0.16392532]"
1208,Track 04,Mr. Gutter,Experimental,"[-4.184251   -4.056072   -4.0370126  ...  0.16899069  0.0753975
  0.01725343]"
819,suBwarren1,Hans Grüsel's Krankenkabinet,Experimental,"[-3.9029186  -1.8705865  -0.07940493 ... -0.30515653 -0.1791516
  0.01305932]"
1227,Track 5,Mudboy,,"[-3.885956   -3.2411551  -2.9647222  ...  0.06508242 -0.01759921
 -0.06229051]"
431,1977,Brian Joseph Davis,Experimental,"[-4.1666255  -3.5953796  -2.9138834  ... -0.09840256  0.12071977
  0.270739  ]"
531,"Night Air, Portland",Celesteville,Rock,"[-4.244738   -4.0296755  -3.629877   ...  0.12702724  0.11221359
  0.15059166]"
480,Appear to Be (Kelly Haus),Celesteville,Rock,"[-3.6922088   0.07249168  2.4106293  ... -0.14309102 -0.24244602
 -0.20004694]"
1199,Cold Mountain Song 286,Mount Eerie,Folk,"[-4.229773   -3.998133   -3.7295666  ...  0.04367924  0.08032894
  0.1128795 ]"
997,Nothing's Ever Ending,Kevin Shields,Experimental,"[-3.6078124   2.6732762   3.567692   ... -0.26765683 -0.14164779
 -0.41911855]"
901,The Gum Trees,J. Anderson/S. Brooxx,,"[-3.9130447  -3.3402371  -3.2022095  ... -0.05409909 -0.22683595
 -0.21066643]"
766,Love On a Plate,Glass Candy,Soul-RnB,"[-3.9295566e+00 -2.8866384e+00 -2.3509297e+00 ...  2.0942055e-03
 -2.9300109e-02 -1.9650662e-02]"
570,Old Route 13,Cinwaves,Rock,"[-3.865532   -2.657818   -2.0558412  ...  0.03226766 -0.02645634
 -0.2088748 ]"
706,Esto Es Califas,Fósforo,International,"[-3.8468606  -0.8562456   1.4881475  ... -0.30350217 -0.1612264
 -0.14884013]"
1020,IIA: Gaps and Fictions,Kyle Bruckmann,Jazz,[-3.9190753 -3.3391695 -3.2470262 ...  1.1590295  0.9199194  0.6553419]
948,The Opposite,Jad Fair,Spoken,"[-4.1427846  -3.9260755  -3.8806343  ...  0.1243391   0.07210311
  0.04408329]"
1077,Polluted Man,Lungs Of A Giant,Rock,"[-3.52614    -2.159861   -1.4275968  ... -0.22096671 -0.24250838
 -0.15921946]"
845,Things You Say,Heroin UK,Rock,"[-3.8536723  -2.1797998  -1.0028458  ... -0.01068808 -0.33754647
 -0.36183813]"
635,Xmas at Wounded Knee,El Jesus De Magico,Rock,"[-4.3588991e+00 -3.8337765e+00 -2.6211383e+00 ... -2.8280972e-03
 -4.5052715e-02 -1.9284378e-01]"
300,The Foot Is Stronger Than The Arm,Black Pus,Experimental,"[-3.0076916   3.2119334   3.7252798  ... -0.56703156 -0.52709126
 -0.7195219 ]"
814,Motion Passings,Hall Of Fame,Folk,"[-3.8723545  -3.3600256  -3.2704062  ...  0.10045673  0.07514489
  0.04117353]"
542,Self Is Eternal (What Our World Will Be),Charles Manson,Folk,"[-3.907582   -3.16257    -2.5782423  ...  0.12775993  0.19818474
  0.16251136]"
974,Your Theory,Jad Fair,Spoken,"[-3.940129   -3.5135708  -3.3817663  ...  0.22321218  0.2691622
  0.27691552]"
1016,Another Corporate Takeover,Kowloon Walled City,Rock,"[-3.503603   -1.6607039  -0.65729165 ... -0.22683    -0.33527026
 -0.5331779 ]"
512,"""""",Celesteville,Rock,"[-4.0670524  -3.667378   -3.6581886  ... -0.29335544 -0.20831071
 -0.12002201]"
1233,Coming Here Was A Bad Idea,Mudboy,,"[-4.3588986  -3.8349586  -2.8754554  ... -0.5075407  -0.39454862
 -0.29063174]"
502,"Vast and Sad (Showoff Gallery, Bellingham)",Celesteville,Rock,"[-3.8941307  -2.382695   -1.6828058  ... -0.2958743  -0.22006631
 -0.18511608]"
343,Cybernetics,Blah Blah Blah,Rock,"[-4.176807   -3.9433181  -3.9202416  ...  0.06132714  0.08060142
  0.04463264]"
485,Asterism (Kelly Haus),Celesteville,Rock,"[-3.744275    1.9508506   3.409743   ... -0.24821125  0.00708197
  0.13922513]"
364,Sunspot activity,Blah Blah Blah,Rock,"[-3.8947144  -3.1916072  -2.922218   ...  0.00435104 -0.11362004
 -0.0535148 ]"
511,Sharper &amp; Clearer,Celesteville,Rock,"[-4.19248    -4.006419   -3.9165542  ... -0.10214321 -0.23698883
 -0.2723574 ]"
148,Blackout 2,Contradiction,Experimental,"[-3.6532176  -2.2926462  -1.4176214  ... -0.54851246 -0.4400755
 -0.46414658]"
986,Track 09,Jailberg,Experimental,"[-3.8521202  -3.2245653  -2.8522978  ...  0.2976983   0.19160867
  0.07478197]"
167,Track 12,Area C,Experimental,"[-4.1640816  -3.9382632  -3.876775   ...  0.06645272  0.03397919
  0.01040763]"
1220,Track 2,Mudboy,,"[-4.172398   -3.8046522  -3.6306837  ... -0.02157545  0.04953766
  0.02883496]"
316,Itching in my pants,Blah Blah Blah,Rock,"[-4.101568   -3.8736873  -3.8540263  ...  0.00683484 -0.04188926
 -0.1379375 ]"
614,Plaisir D'Amour (feat. Dana Dart Maclean),Dragging an Ox Through Water,Folk,"[-3.9880633  -3.0241208  -2.4181385  ...  0.2973073   0.30610457
  0.34322268]"
882,Immanent,Illusion of Safety,Electronic,"[-4.3588986  -4.056951   -3.5054991  ... -0.07144099 -0.10455461
 -0.02183544]"
304,Woo You,Blah Blah Blah,Rock,"[-4.2121015  -4.050056   -3.9837666  ...  0.09500939  0.10960267
  0.05225186]"
258,Eyebone,Black Elk,Rock,"[-2.8542516  -2.5572596  -2.6167312  ...  0.22256649  0.14170186
  0.20771657]"
998,Apparently,Kevin Shields,Experimental,"[-2.9664676   2.465892    3.4268231  ...  0.40771118  0.2738278
  0.36550432]"
1245,Live One-Off Metal Laquer,Nautical Almanac,Experimental,"[-3.5855203   2.0431206   3.14009    ... -0.33248818 -0.24940902
 -0.44232088]"
1158,Comeing Down,Mors Ontologica,Rock,"[-3.9261713  -2.488299   -1.4406903  ... -0.327733   -0.19149187
  0.02225531]"
806,Hello from Ohio,Guinea Worms,Rock,"[-1.9271611  -1.013385   -0.88353884 ... -0.58382857 -0.40794116
 -0.355712  ]"
420,Track2,Brian Joseph Davis,,"[-3.8359296  -2.615656   -1.7589284  ... -0.298724   -0.3411937
 -0.28152177]"
1063,No Fair,Lozenge,Jazz,"[-4.086861   -3.068537   -2.1485362  ... -0.22381112 -0.07632893
  0.02246987]"
717,Tyranny,Fursaxa,Folk,"[-3.777367   -2.752839   -2.4163408  ...  0.05281058 -0.00761633
  0.00486464]"
173,Save Life's Golden Receipt In Case Refund Needed,Argumentix,Rock,"[-3.7261825  -2.7793512  -2.425781   ... -0.13428044 -0.17812024
 -0.18612422]"
1071,Dura Big Screen TV Mix,Lucky Dragons,Experimental,"[-4.116694   -3.6093338  -3.1001842  ... -0.00822471 -0.02510171
  0.0860732 ]"
1162,D.Y.I,Mors Ontologica,Rock,"[-3.7249935   0.21857677  1.7729224  ... -0.22346453 -0.12906918
 -0.17984039]"
442,ID4 Congress,Bronhard/Going/Public,,"[-4.014523   -3.5802917  -3.4676998  ... -0.22810851 -0.16500065
 -0.22739805]"
331,Weatherman,Blah Blah Blah,Rock,"[-3.995329   -3.4798963  -3.376219   ... -0.2723951  -0.29853112
 -0.27902797]"
1188,Lasarus,Mors Ontologica,Rock,"[-4.1430874  -3.6904309  -3.4444983  ... -0.05259423 -0.06508085
 -0.05262888]"
953,Think About,Jad Fair,Spoken,"[-3.873635   -2.7079427  -2.0091612  ... -0.04136987  0.06125407
 -0.03213003]"
310,Going Down to Soho,Blah Blah Blah,Rock,"[-4.103875   -3.6668742  -3.4380188  ...  0.0446476   0.03685866
  0.0701863 ]"
363,Sugar Bowl,Blah Blah Blah,Rock,"[-4.218766   -4.016525   -3.952301   ...  0.05957562  0.03241401
  0.05928367]"
957,We Will Not Rust,Jad Fair,Spoken,"[-3.7716177  -2.7301996  -2.1716225  ... -0.34861442 -0.25880647
 -0.29574537]"
336,Breeder,Blah Blah Blah,Rock,"[-4.0788274  -3.809568   -3.7307026  ... -0.13412929 -0.14833982
 -0.11412942]"
1171,Black Market,Mors Ontologica,Rock,"[-3.7668405  -2.5960085  -1.9717578  ...  0.0316699  -0.12892881
 -0.27256313]"
1091,turf war (on a global scale),Mahjongg,Electronic,"[-3.809439   -2.8470144  -2.4033706  ... -0.04797347 -0.11691288
 -0.12907982]"
514,Four Doors,Celesteville,Rock,"[-4.3588991e+00 -4.2383256e+00 -4.0185575e+00 ...  1.2324311e-02
  1.0376210e-02  3.4323619e-03]"
1151,Desperado,The Moonlighters,Jazz,"[-4.358899   -4.3202553  -4.2572017  ... -0.09448192 -0.03952476
  0.01890093]"
182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,Rock,"[-3.2990217  -1.235941   -0.5683226  ... -0.019498    0.042533
  0.06959296]"
448,Registered Sax Offender II,Bronhard/Going/Public,,"[-4.198767   -3.921671   -3.7133849  ... -0.0188048  -0.13658802
 -0.11630655]"
578,tan man,Clyde Rourke,Rock,"[-2.5725725  -0.2326619  -0.37841117 ... -0.0201603  -0.07309727
 -0.04831313]"
801,untitled3,Grouper,Experimental,"[-4.0724473  -3.7043257  -3.5594692  ...  0.31715617  0.18415041
  0.06925043]"
135,Father's Day,Abominog,Rock,"[-3.9597507  -1.900604    0.03395811 ...  0.0802519   0.14390528
  0.11506444]"
1228,Untitled2,Mudboy,,"[-3.9405127  -3.5135384  -3.4030285  ...  0.20174164  0.1538816
  0.17177017]"
536,Riding On Your Fears,Charles Manson,Folk,"[-4.249978   -3.9505332  -3.7737916  ... -0.00776213  0.02756251
  0.05028713]"
443,Bastard Boise,Bronhard/Going/Public,,"[-3.8770638  -2.8210838  -2.2118676  ... -0.23118988 -0.20740698
 -0.10829719]"
621,Blue Eyed Baby,Ed Askew,Folk,"[-3.8832798  -3.2745614  -3.1700673  ...  0.146096   -0.01451811
 -0.2643717 ]"
894,Moon Falling,Ilyas Ahmed,Folk,"[-3.813037   -3.1048172  -2.5979545  ... -0.10646281 -0.04038802
  0.06353138]"
